SampleID	CONTIG COUNT 	TOTAL LENGTH 	MIN 	MAX 	MEDIAN 	MEAN 	L50 	N50 	L90 	N90 	BUSCO_Complete	BUSCO_Single	BUSCO_Single	BUSCO_Single	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped reads	Average coverage
Absidia_blakesleeana_NRRL_1300	712	30971560	502	633359	4738	43499.38	70	144737	221	40585	97.6	78.3	78.3	78.3	1.7	0.7	290	6051524	5978109	28
Absidia_blakesleeana_NRRL_1301	752	31124115	480	495897	5479	41388.45	73	139129	235	35919	98.0	78.3	78.3	78.3	1.7	0.3	290	8247436	8044090	38
Absidia_caerulea_RSA_138+	1795	39893329	1002	170545	15571	22224.70	332	37780	1015	12646	96.9	63.8	63.8	63.8	2.1	1.0	290	7311164	7087028	26
Absidia_caerulea_RSA_138-	1550	38623610	1001	205887	16957	24918.46	281	42665	874	13655	96.5	64.8	64.8	64.8	2.4	1.1	290	6429842	6182444	24
Absidia_californica_NRRL_2709	1750	36319760	500	387460	1606	20754.15	128	85835	462	18358	96.8	63.4	63.4	63.4	1.7	1.5	290	8061918	7580850	31
Absidia_californica_NRRL_2967	1329	36024637	500	488149	4354	27106.57	123	92685	420	21101	96.2	62.1	62.1	62.1	2.4	1.4	290	11182340	10491063	43
Absidia_coerulea_NRRL_1310	2296	39688906	500	210848	2954	17286.11	250	50933	802	13740	96.5	63.1	63.1	63.1	2.4	1.1	290	7144504	7038317	26
Absidia_coerulea_NRRL_1313	1542	39068819	500	321947	10709	25336.46	200	58593	630	19496	96.5	63.4	63.4	63.4	2.4	1.1	290	11047030	10827639	41
Absidia_coerulea_NRRL_1314	2169	38883264	476	240852	9400	17926.82	290	40205	973	12035	96.2	63.4	63.4	63.4	2.4	1.4	290	8057766	7938828	30
Absidia_coerulea_NRRL_5926	1773	39058602	500	208191	9650	22029.67	228	55215	734	15100	96.6	62.1	62.1	62.1	2.1	1.3	290	6914776	6801180	26
Absidia_coerulea_NRRL_A-26290	1717	39056462	477	220385	9623	22746.92	217	54101	706	16771	96.9	64.8	64.8	64.8	2.1	1.0	290	8693124	8458829	32
Absidia_coerulea_NRRL_A-9483	3396	38462228	346	189171	7101	11325.74	528	21875	1738	6815	96.9	63.8	63.8	63.8	1.7	1.4	290	8498952	8305796	32
Absidia_corymbifera_Cohn_Saccardo_Trotter_NRRL_1334	378	29825175	1006	1100428	29977	78902.58	42	197953	153	56705	98.0	79.7	79.7	79.7	1.7	0.3	290	12986788	12728815	63
Absidia_corymbifera_NRRL_2798	615	30216736	500	1231843	3778	49132.90	41	194187	155	45494	97.9	77.9	77.9	77.9	1.7	0.4	290	7065038	7023457	34
Absidia_corymbifera_NRRL_2982	1084	34161325	451	199490	20146	31514.14	183	61340	533	21176	96.9	76.9	76.9	76.9	2.4	0.7	290	14950228	14403129	63
Absidia_cuneospora_RSA_623+	590	27530919	988	458662	18446	46662.57	70	118453	240	30635	96.8	83.4	83.4	83.4	2.1	1.1	290	4907338	4736402	25
Absidia_cuneospora_RSA_624-	576	27621425	1000	411564	22862	47953.86	79	116207	246	33148	97.6	84.5	84.5	84.5	1.4	1.0	290	5937812	5626323	30
Absidia_cylindrospora_NRRL_1341	1498	38430622	496	303006	3436	25654.62	149	79624	478	22539	97.5	64.1	64.1	64.1	1.4	1.1	290	8604976	8387314	32
Absidia_cylindrospora_NRRL_1343	2283	40700125	499	285203	2808	17827.47	201	64417	702	13591	96.9	62.1	62.1	62.1	2.1	1.0	290	22785110	21208512	78
Absidia_cylindrospora_NRRL_1345	1536	38442431	500	360185	3581	25027.62	149	79313	498	20829	97.5	63.4	63.4	63.4	1.4	1.1	290	7922590	7795540	30
Absidia_cylindrospora_NRRL_13891	1931	38978967	500	269590	2621	20185.90	190	69291	596	17990	96.9	62.1	62.1	62.1	2.1	1.0	290	8967530	8678920	33
Absidia_cylindrospora_NRRL_3069	2231	39939824	500	332512	3367	17902.21	223	54218	762	13843	97.2	65.5	65.5	65.5	1.4	1.4	290	11259788	10751089	40
Absidia_cylindrospora_var._cylindrospora_NRRL_2796	2513	41915259	500	215351	6368	16679.37	291	43112	1039	10607	97.2	57.9	57.9	57.9	1.7	1.1	290	10949224	10476735	37
Absidia_cylindrospora_var._nigra_NRRL_3031	1505	40014768	500	426361	7648	26587.89	168	75311	554	18959	96.9	57.6	57.6	57.6	1.7	1.4	290	10581358	9816562	36
Absidia_dubia_NRRL_1322	2893	40140808	500	112883	9675	13875.15	473	26941	1423	9949	97.9	65.5	65.5	65.5	0.7	1.4	290	16842184	15789271	58
Absidia_glauca_NRRL_1327	2901	40121400	500	157125	9736	13830.20	479	26667	1447	9764	97.9	64.8	64.8	64.8	0.7	1.4	290	7836096	7375423	27
Absidia_hyalospora_NRRL_1330	1168	34109233	1002	169847	20754	29203.11	203	55247	580	21034	96.9	77.2	77.2	77.2	2.4	0.7	290	13150968	12587693	55
Absidia_inflata_NRRL_6591	6495	47556726	210	95519	2807	7322.05	884	17377	2842	4122	96.9	65.5	65.5	65.5	2.1	1.0	290	23144786	21852067	68
Absidia_macrospora_NRRL_5839	2633	40830476	500	171764	5703	15507.21	312	39814	1060	10407	95.9	63.1	63.1	63.1	3.1	1.0	290	8406176	7900465	29
Absidia_pseudocylindrospora_NRRL_2984	1333	40866300	1000	357968	17059	30657.39	197	60896	674	16612	95.9	61.4	61.4	61.4	2.4	1.7	290	7817186	7510497	27
Absidia_sp._NRRL_A-16789	1583	32135838	934	228190	10432	20300.59	243	43968	723	13810	98.3	78.6	78.6	78.6	0.7	1.0	290	12797838	11758088	54
Absidia_spinosa_NRRL_A-13651	2962	42571458	500	234968	4582	14372.54	343	37259	1164	9806	96.5	61.0	61.0	61.0	2.1	1.4	290	10391328	9979265	35
Absidia_spinosa_var._azygospora_NRRL_2841	2544	39184623	496	270777	1880	15402.76	174	63840	686	11298	98.3	61.7	61.7	61.7	0.3	1.4	290	12244174	12022339	45
Absidia_spinosavar_var._biappendiculata_NRRL_3033	1491	40845988	997	214433	14040	27395.03	205	60971	711	15400	96.2	63.1	63.1	63.1	2.8	1.0	290	7102230	6565930	24
Absidia_zychae_NRRL_A-23515	343	20054610	493	529279	14688	58468.25	37	160237	126	49317	95.9	91.4	91.4	91.4	3.1	1.0	290	7909786	7829639	58
Actinomucor_elegans_NRRL_1706	2315	34012553	500	231274	4018	14692.25	263	39230	871	10430	98.2	80.3	80.3	80.3	0.7	1.1	290	14343564	6648989	29
Actinomucor_sp._NRRL_A-23671	1661	32558114	1000	170494	9986	19601.51	240	43257	756	12655	98.3	78.6	78.6	78.6	1.0	0.7	290	14102018	12834415	59
Apophysomyces_ossiformis_NRRL_A-21654	1141	34079890	500	588879	2985	29868.44	80	125890	296	27577	96.9	83.1	83.1	83.1	2.1	1.0	290	10858506	10729189	47
Apophysomyces_sp._BC1021	2963	35139595	481	243836	1974	11859.47	271	38138	1003	6742	97.6	82.8	82.8	82.8	1.4	1.0	290	14720740	14311575	40
